Date,Ref No,Outlet,Point of Sales,Cashier,Membership No,Category,Item No,Item Name,Group,Sub-Group,Qty,Nett Sales,Hdr Remark,Line Remark,Line Info
2024-07-02,OR24070200510017,DORS,DO-P1,DF0003,DO1100231372,3EIGHTH CO,3ETH100001,ARC DRESS DARK DENIM - SZ1,FASHION APPAREL,DRESS,1,160,,,Local/PR
2024-07-09,OR24070900510019,DORS,DO-P1,df0024,DO1100231476,3EIGHTH CO,3ETH100015,BARUN TROUSERS DEEP FOREST - SZ1,FASHION APPAREL,LADIES BOTTOM,1,260,,,Tourist
2024-07-04,OR24070400520016,DORS,DO-P2,df0001,DO2100225074,3EIGHTH CO,3ETH100023,HAKO CROP TOP DENIM PINSTRIPE (LIMITED RUN) - SZ1,FASHION APPAREL,LADIES TOP,1,120,,,Tourist
2024-07-04,OR24070400520015,DORS,DO-P2,df0001,DO2100225074,3EIGHTH CO,3ETH100030,DUO SKIRT DENIM PINSTRIPE (LIMITED RUN) + CARAMEL - SZ2,FASHION APPAREL,LADIES BOTTOM,1,240,,,Tourist
2024-08-01,OR24080100510014,DORS,DO-P1,DF0001,WALK-IN,THE ANTECEDENT STORE,TASS100080,? ?? ?Dragon Motif Pendent,FASHION ACCESSORIES,PENDANT,1,85.35,,,TOURIST
2024-08-01,OR24080100510014,DORS,DO-P1,DF0001,WALK-IN,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,3,64.5,,,TOURIST
2024-08-01,OR24080100510015,DORS,DO-P1,DF0001,WALK-IN,THE ANIMAL PROJECT,AMPJ100156,Pouch Cockatoo  ,FASHION ACCESSORIES,BAG,1,25,,,TOURIST
2024-08-01,OR24080100510015,DORS,DO-P1,DF0001,WALK-IN,THE ANIMAL PROJECT,AMPJ100157,Pouch Hornbill  ,FASHION ACCESSORIES,BAG,1,25,,,TOURIST
2024-08-01,OR24080100510018,DORS,DO-P1,DF0001,WALK-IN,FORBIDDEN HILL,FBHL100123,Kawung Bangle (16mm) Rhodium Small,FASHION ACCESSORIES,BRACELET,1,170,,,TOURIST
2024-08-01,OR24080100510019,DORS,DO-P1,DF0001,DO1100231863,EVERYDAY CLUB,EDAY100095,Iron-on 4 - Patch,FASHION ACCESSORIES,BAG,7,91.56,,,LOCAL/PR
